"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
0,0,0,1e-10,0,48574,-0.076955,1.5342,0.08922,2.25
-0.0024813,0.0011128,-0.0002912,3.4769e-08,1.6041e-12,28334,-0.076956,1.5342,0.090062,2.25
0,0,0,1e-10,0,46561,-0.076815,1.5784,0.070447,2.25
-0.0025269,0.0010086,-0.00030162,3.5544e-08,1.7681e-12,27159,-0.076815,1.5785,0.071294,2.25
0,0,0,1e-10,0,44810,-0.076718,1.6234,0.053595,2.25
-0.0025532,0.00089041,-0.00031115,3.595e-08,1.9251e-12,26138,-0.076719,1.6235,0.054447,2.25
0,0,0,1e-10,0,43324,-0.076671,1.6691,0.038807,2.25
-0.002555,0.00075971,-0.00031939,3.5877e-08,2.0639e-12,25271,-0.076671,1.6692,0.039663,2.25
0,0,0,1e-10,0,42108,-0.076693,1.7155,0.026221,2.25
-0.0025436,0.00062254,-0.00032597,3.559e-08,2.1877e-12,24562,-0.076693,1.7155,0.027081,2.25
0,0,0,1e-10,0,41167,-0.076781,1.7624,0.01597,2.25
-0.0025144,0.00048168,-0.0003307,3.4993e-08,2.285e-12,24013,-0.076781,1.7625,0.016833,2.25
0,0,0,1e-10,0,40511,-0.076986,1.8098,0.0081717,2.25
-0.0025203,0.00034494,-0.00033386,3.5198e-08,2.3991e-12,23630,-0.076986,1.8099,0.0090371,2.25
0,0,0,1e-10,0,40146,-0.07727,1.8576,0.0029263,2.25
-0.0025635,0.00021223,-0.00033585,3.6248e-08,2.5378e-12,23418,-0.07727,1.8576,0.0037931,2.25
0,0,0,1e-10,0,40066,-0.077788,1.9055,0.00030854,2.25
-0.002951,8.7391e-05,-0.00034006,4.6132e-08,3.0716e-12,23371,-0.077787,1.9056,0.0011761,2.25
0,0,0,1e-10,0,40105,-0.078202,1.9536,-5.5511e-17,2.25
-0.0038677,1.9901e-05,-0.0003463,7.5278e-08,4.6182e-12,23393,-0.078201,1.9536,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.078304,2.0016,-5.5511e-17,2.25
-0.0047656,8.0821e-06,-0.00034913,1.1092e-07,6.5923e-12,23399,-0.078304,2.0017,0.0008677,2.25
