"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
1.2248,0.01153,0.00089364,0.010286,0.0038911,2.3785,-0.057646,0,2.7059,2.25
1.2088,0.010062,0.00082307,0.010256,0.0039427,2.3762,-0.006416,0.090987,2.706,2.25
1.2137,0.0099842,0.00073472,0.010225,0.0040266,2.3723,-0.01231,0.13648,2.7058,2.25
1.2171,0.0096068,0.00066456,0.010187,0.0039976,2.3666,-0.017473,0.18194,2.7052,2.25
1.2195,0.0090854,0.00060629,0.010138,0.0039835,2.3582,-0.018958,0.22735,2.704,2.25
1.2224,0.0086455,0.00055116,0.010074,0.0039784,2.3466,-0.020173,0.27261,2.7021,2.25
1.2261,0.0082574,0.00050182,0.009994,0.0039639,2.3319,-0.021667,0.31764,2.6995,2.25
1.2302,0.0078763,0.00045963,0.0098971,0.0039434,2.3146,-0.023175,0.36237,2.6961,2.25
1.2346,0.0074932,0.00042329,0.0097869,0.0039213,2.2955,-0.024665,0.40682,2.6923,2.25
1.2392,0.0071033,0.00039144,0.0096664,0.0038977,2.2751,-0.026142,0.45102,2.688,2.25
1.244,0.0067007,0.00036314,0.0095375,0.0038726,2.254,-0.027596,0.49503,2.6834,2.25
1.2488,0.006282,0.00033767,0.009402,0.0038466,2.2324,-0.029015,0.53889,2.6786,2.25
1.2536,0.0058458,0.00031439,0.0092609,0.0038198,2.2106,-0.03039,0.58264,2.6737,2.25
1.2583,0.0053915,0.00029277,0.0091152,0.0037927,2.1887,-0.03172,0.62632,2.6687,2.25
1.263,0.0049194,0.00027235,0.0089659,0.0037654,2.1668,-0.033002,0.66995,2.6637,2.25
1.2676,0.0044304,0.00025269,0.0088139,0.0037383,2.1451,-0.034236,0.71356,2.6586,2.25
1.2721,0.003926,0.00023338,0.0086601,0.0037115,2.1236,-0.035423,0.75719,2.6535,2.25
1.2764,0.0034086,0.00021419,0.0085054,0.0036853,2.1026,-0.036556,0.80085,2.6485,2.25
1.2805,0.0028808,0.00019502,0.0083498,0.0036596,2.0818,-0.037626,0.84456,2.6436,2.25
1.2846,0.0023451,0.00017581,0.0081934,0.0036345,2.0613,-0.038634,0.8883,2.6386,2.25
1.2884,0.0018034,0.00015663,0.0080361,0.0036097,2.0411,-0.039581,0.93206,2.6337,2.25
1.2922,0.001257,0.00013756,0.0078781,0.0035854,2.0212,-0.040469,0.97586,2.6289,2.25
1.2958,0.00070686,0.00011859,0.0077192,0.0035617,2.0015,-0.041299,1.0197,2.6241,2.25
1.2993,0.00015403,9.9957e-05,0.0075594,0.0035384,1.982,-0.042072,1.0635,2.6193,2.25
1.3026,-0.00040143,8.2007e-05,0.0073988,0.0035156,1.9628,-0.04279,1.1074,2.6145,2.25
1.3059,-0.00096002,6.48e-05,0.0072373,0.0034931,1.9437,-0.043452,1.1512,2.6097,2.25
1.309,-0.0015221,4.8354e-05,0.0070751,0.0034708,1.9249,-0.044063,1.1951,2.605,2.25
1.312,-0.0020878,3.3091e-05,0.0069124,0.0034485,1.9064,-0.044627,1.239,2.6003,2.25
1.3149,-0.0026575,1.943e-05,0.0067504,0.0034263,1.8882,-0.045149,1.2829,2.5956,2.25
1.3176,-0.0032311,7.3057e-06,0.0065893,0.0034038,1.8705,-0.045629,1.3269,2.5909,2.25
1.3202,-0.0038078,-3.5903e-06,0.0064307,0.003379,1.8534,-0.046067,1.3709,2.5863,2.25
1.3226,-0.0043867,-1.3273e-05,0.0062745,0.0033481,1.8369,-0.046463,1.4149,2.5818,2.25
1.3248,-0.004967,-2.1579e-05,0.0061226,0.0033109,1.8211,-0.046819,1.4591,2.5775,2.25
1.3269,-0.0055476,-2.8523e-05,0.0059749,0.0032704,1.8062,-0.047135,1.5033,2.5732,2.25
1.3288,-0.0061262,-3.4383e-05,0.0058338,0.0032306,1.7922,-0.047415,1.5477,2.5692,2.25
1.3305,-0.0066998,-3.9606e-05,0.005699,0.0031892,1.7793,-0.047657,1.5922,2.5653,2.25
1.332,-0.0072653,-4.4757e-05,0.0055731,0.0031461,1.7676,-0.047857,1.6368,2.5617,2.25
1.3333,-0.0078201,-5.0373e-05,0.0054548,0.0031005,1.7569,-0.048014,1.6815,2.5584,2.25
1.3343,-0.0083614,-5.6891e-05,0.0053468,0.0030554,1.7475,-0.048128,1.7264,2.5554,2.25
1.3352,-0.0088861,-6.4802e-05,0.0052472,0.0030125,1.7392,-0.0482,1.7714,2.5526,2.25
1.3358,-0.0093904,-7.4774e-05,0.0051598,0.0029742,1.7323,-0.048232,1.8165,2.5502,2.25
1.3362,-0.0098706,-8.7508e-05,0.0050813,0.0029384,1.7266,-0.048225,1.8617,2.5482,2.25
1.3364,-0.010323,-0.00010392,0.0050167,0.0029083,1.7223,-0.048182,1.907,2.5465,2.25
1.3364,-0.010743,-0.00012505,0.0049627,0.0028819,1.7193,-0.048104,1.9524,2.5453,2.25
1.3361,-0.01113,-0.00015194,0.0049188,0.002859,1.7177,-0.047997,1.9979,2.5444,2.25
1.3356,-0.01148,-0.00018616,0.004913,0.0028562,1.7173,-0.047861,2.0434,2.544,2.25
1.3349,-0.011801,-0.00022573,0.0049219,0.0028608,1.7177,-0.047641,2.0889,2.544,2.25
1.3342,-0.012109,-0.00026701,0.0049235,0.0028609,1.7182,-0.047324,2.1343,2.544,2.25
1.3334,-0.012405,-0.00030922,0.0049287,0.0028629,1.7188,-0.046975,2.1798,2.544,2.25
1.3327,-0.012691,-0.00035237,0.0049355,0.0028657,1.7195,-0.046615,2.2253,2.544,2.25
1.3319,-0.012968,-0.00039645,0.0049349,0.0028641,1.7202,-0.046236,2.2708,2.544,2.25
1.331,-0.013235,-0.00044148,0.0049396,0.0028654,1.7211,-0.045834,2.3163,2.544,2.25
1.3302,-0.013493,-0.0004873,0.0049459,0.0028675,1.722,-0.045408,2.3618,2.544,2.25
1.3293,-0.013742,-0.0005337,0.0049472,0.0028666,1.723,-0.04496,2.4073,2.544,2.25
1.3285,-0.013984,-0.00058063,0.0049516,0.0028673,1.7241,-0.044489,2.4528,2.544,2.25
1.3276,-0.014217,-0.00062797,0.0049594,0.00287,1.7252,-0.043995,2.4983,2.544,2.25
1.3266,-0.014443,-0.00067563,0.0049621,0.0028695,1.7264,-0.043478,2.5438,2.544,2.25
1.3257,-0.014661,-0.00072369,0.0049642,0.0028685,1.7277,-0.042939,2.5893,2.544,2.25
1.3247,-0.014871,-0.0007722,0.0049692,0.0028691,1.7291,-0.042378,2.6348,2.544,2.25
1.3238,-0.015073,-0.00082125,0.0049769,0.0028713,1.7305,-0.041795,2.6803,2.544,2.25
1.3228,-0.015265,-0.00087066,0.0049841,0.002873,1.732,-0.041191,2.7258,2.544,2.25
1.3218,-0.01545,-0.00092023,0.0049938,0.002876,1.7336,-0.040566,2.7713,2.544,2.25
1.3207,-0.015625,-0.00096993,0.0049993,0.0028765,1.7352,-0.03992,2.8167,2.544,2.25
1.3197,-0.015793,-0.0010196,0.0050017,0.0028749,1.737,-0.039254,2.8622,2.544,2.25
1.3186,-0.015953,-0.0010692,0.0050088,0.002876,1.7388,-0.038569,2.9077,2.544,2.25
1.3175,-0.016104,-0.0011184,0.005014,0.0028759,1.7407,-0.037866,2.9532,2.544,2.25
1.3164,-0.016248,-0.001167,0.0050179,0.0028749,1.7426,-0.037144,2.9987,2.544,2.25
1.3153,-0.016384,-0.0012153,0.0050223,0.0028741,1.7447,-0.036406,3.0442,2.544,2.25
1.3142,-0.01651,-0.0012637,0.0050328,0.0028767,1.7467,-0.035652,3.0897,2.544,2.25
1.313,-0.016628,-0.0013118,0.0050381,0.0028762,1.7489,-0.034881,3.1352,2.544,2.25
1.3118,-0.016736,-0.0013594,0.0050429,0.0028751,1.7512,-0.034096,3.1807,2.544,2.25
1.3107,-0.016837,-0.0014063,0.0050486,0.0028745,1.7535,-0.033298,3.2262,2.544,2.25
1.3095,-0.01693,-0.0014523,0.0050549,0.0028741,1.7559,-0.032487,3.2717,2.544,2.25
1.3083,-0.017013,-0.0014973,0.0050676,0.0028774,1.7584,-0.031663,3.3172,2.544,2.25
1.3071,-0.017087,-0.0015413,0.005084,0.0028826,1.7609,-0.030827,3.3627,2.544,2.25
1.3058,-0.017153,-0.0015843,0.0051016,0.0028883,1.7635,-0.02998,3.4082,2.544,2.25
1.3046,-0.017207,-0.0016264,0.0051117,0.0028896,1.7662,-0.029123,3.4537,2.544,2.25
1.3034,-0.017253,-0.0016675,0.0051133,0.0028859,1.769,-0.028257,3.4991,2.544,2.25
1.3021,-0.017288,-0.0017073,0.0051157,0.0028825,1.772,-0.027384,3.5446,2.544,2.25
1.3008,-0.017315,-0.0017462,0.005117,0.0028783,1.775,-0.026503,3.5901,2.544,2.25
1.2996,-0.017333,-0.001784,0.0051139,0.0028715,1.7781,-0.025616,3.6356,2.544,2.25
1.2983,-0.017342,-0.0018207,0.0051143,0.0028667,1.7812,-0.024724,3.6811,2.544,2.25
1.297,-0.017343,-0.001856,0.0051179,0.0028637,1.7843,-0.023826,3.7266,2.544,2.25
1.2957,-0.017335,-0.0018896,0.005125,0.0028625,1.7875,-0.022926,3.7721,2.544,2.25
1.2944,-0.017318,-0.0019214,0.0051376,0.0028643,1.7907,-0.022023,3.8176,2.544,2.25
1.2931,-0.01729,-0.0019515,0.005156,0.0028688,1.794,-0.021118,3.8631,2.544,2.25
1.2919,-0.017252,-0.0019799,0.0051772,0.0028742,1.7973,-0.020213,3.9086,2.544,2.25
1.2906,-0.017206,-0.002007,0.0051949,0.0028773,1.8007,-0.019306,3.9541,2.544,2.25
1.2893,-0.017149,-0.0020329,0.0052027,0.0028748,1.8041,-0.0184,3.9996,2.544,2.25
1.2879,-0.017082,-0.0020575,0.0052105,0.0028721,1.8077,-0.017495,4.0451,2.544,2.25
1.2866,-0.017007,-0.0020808,0.0052218,0.0028713,1.8114,-0.016592,4.0906,2.544,2.25
1.2853,-0.016922,-0.0021023,0.0052272,0.002867,1.8151,-0.015693,4.1361,2.544,2.25
1.284,-0.016829,-0.0021218,0.0052364,0.0028646,1.8188,-0.014797,4.1815,2.544,2.25
1.2827,-0.016726,-0.002139,0.0052541,0.0028661,1.8226,-0.013905,4.227,2.544,2.25
1.2814,-0.016612,-0.0021539,0.0052725,0.0028668,1.8265,-0.013019,4.2725,2.544,2.25
1.2801,-0.01649,-0.0021665,0.0052829,0.0028628,1.8305,-0.01214,4.318,2.544,2.25
1.2788,-0.016358,-0.002177,0.0052901,0.0028568,1.8347,-0.011268,4.3635,2.544,2.25
1.2775,-0.016216,-0.0021854,0.0053002,0.0028521,1.839,-0.010404,4.409,2.544,2.25
1.2762,-0.016064,-0.002192,0.0053103,0.0028474,1.8433,-0.0095487,4.4545,2.544,2.25
1.2749,-0.015902,-0.0021968,0.0053201,0.0028422,1.8477,-0.0087031,4.5,2.544,2.25
1.2736,-0.01573,-0.0021996,0.005333,0.0028385,1.8522,-0.0078674,4.5455,2.544,2.25
1.2723,-0.015548,-0.0022003,0.0053509,0.0028377,1.8567,-0.0070426,4.591,2.544,2.25
1.271,-0.015356,-0.002199,0.0053732,0.0028391,1.8612,-0.0062297,4.6365,2.544,2.25
1.2698,-0.015154,-0.0021958,0.0053977,0.0028416,1.8658,-0.0054295,4.682,2.544,2.25
1.2685,-0.014942,-0.0021908,0.0054255,0.0028459,1.8703,-0.0046429,4.7275,2.544,2.25
1.2672,-0.01472,-0.0021838,0.0054571,0.0028522,1.8749,-0.0038703,4.773,2.544,2.25
1.2659,-0.014487,-0.0021747,0.0054904,0.0028596,1.8795,-0.0031128,4.8185,2.544,2.25
1.2647,-0.014245,-0.0021631,0.0055232,0.0028667,1.8841,-0.0023713,4.8639,2.544,2.25
1.2634,-0.013993,-0.0021489,0.005559,0.0028755,1.8887,-0.0016463,4.9094,2.544,2.25
1.2622,-0.013731,-0.0021319,0.0055999,0.0028873,1.8932,-0.0009385,4.9549,2.544,2.25
1.2609,-0.013458,-0.0021125,0.005644,0.0029008,1.8977,-0.00024865,5.0004,2.544,2.25
1.2597,-0.013176,-0.0020907,0.0056912,0.0029155,1.9021,0.0004225,5.0459,2.544,2.25
1.2585,-0.012885,-0.0020665,0.0057412,0.0029314,1.9063,0.0010743,5.0914,2.544,2.25
1.2573,-0.012584,-0.0020402,0.0057936,0.0029488,1.9105,0.001706,5.1369,2.544,2.25
1.2562,-0.012274,-0.0020119,0.0058481,0.0029675,1.9145,0.0023169,5.1824,2.544,2.25
1.255,-0.011955,-0.0019816,0.0059042,0.0029872,1.9184,0.0029063,5.2279,2.544,2.25
1.2539,-0.011627,-0.0019495,0.0059616,0.0030078,1.9222,0.0034734,5.2734,2.544,2.25
1.2528,-0.01129,-0.0019157,0.0060199,0.003029,1.9258,0.0040176,5.3189,2.544,2.25
1.2517,-0.010944,-0.0018801,0.0060788,0.0030506,1.9293,0.0045381,5.3644,2.544,2.25
1.2506,-0.010589,-0.0018428,0.006138,0.0030726,1.9327,0.0050342,5.4099,2.544,2.25
1.2496,-0.010226,-0.0018037,0.0061973,0.0030947,1.9359,0.0055053,5.4554,2.544,2.25
1.2486,-0.0098526,-0.0017629,0.0062563,0.0031169,1.939,0.0059506,5.5009,2.544,2.25
1.2476,-0.0094705,-0.0017204,0.0063149,0.0031388,1.942,0.0063695,5.5463,2.544,2.25
1.2466,-0.0090791,-0.0016762,0.006373,0.00316,1.9448,0.0067613,5.5918,2.544,2.25
1.2457,-0.0086783,-0.0016305,0.0064303,0.0031809,1.9475,0.0071251,5.6373,2.544,2.25
1.2448,-0.0082679,-0.0015834,0.0064869,0.0032017,1.95,0.0074604,5.6828,2.544,2.25
1.244,-0.0078478,-0.0015349,0.0065425,0.0032221,1.9525,0.0077663,5.7283,2.544,2.25
1.2431,-0.007418,-0.0014851,0.0065971,0.0032423,1.9548,0.008042,5.7738,2.544,2.25
1.2424,-0.0069783,-0.0014343,0.0066505,0.0032622,1.957,0.0082868,5.8193,2.544,2.25
1.2416,-0.0065287,-0.0013823,0.0067027,0.0032817,1.9592,0.0084998,5.8648,2.544,2.25
1.2409,-0.006069,-0.0013295,0.0067536,0.0033008,1.9612,0.0086802,5.9103,2.544,2.25
1.2402,-0.0055993,-0.0012757,0.0068031,0.0033194,1.9631,0.0088273,5.9558,2.544,2.25
1.2396,-0.0051193,-0.0012211,0.0068511,0.0033376,1.9648,0.00894,6.0013,2.544,2.25
1.2389,-0.0046291,-0.0011658,0.0068977,0.0033554,1.9665,0.0090177,6.0468,2.544,2.25
1.2384,-0.0041284,-0.0011099,0.0069426,0.0033727,1.968,0.0090593,6.0923,2.544,2.25
1.2379,-0.0036174,-0.0010535,0.006986,0.0033895,1.9694,0.009064,6.1378,2.544,2.25
1.2374,-0.0030957,-0.00099654,0.0070278,0.0034059,1.9707,0.009031,6.1833,2.544,2.25
1.237,-0.0025635,-0.00093922,0.007068,0.0034218,1.9718,0.0089593,6.2287,2.544,2.25
1.2366,-0.0020206,-0.00088159,0.0071065,0.0034372,1.9729,0.008848,6.2742,2.544,2.25
1.2362,-0.0014669,-0.00082372,0.0071435,0.0034521,1.9738,0.0086963,6.3197,2.544,2.25
1.2359,-0.0009021,-0.00076568,0.0071786,0.0034666,1.9746,0.0085034,6.3652,2.544,2.25
1.2357,-0.00032521,-0.00070734,0.0072122,0.0034804,1.9753,0.0082678,6.4107,2.544,2.25
1.2355,0.00026443,-0.00064862,0.0072438,0.0034936,1.976,0.0079874,6.4562,2.544,2.25
1.2353,0.00086611,-0.00058976,0.007274,0.0035067,1.9765,0.007661,6.5017,2.544,2.25
1.2352,0.001479,-0.0005311,0.0073027,0.0035194,1.977,0.0072892,6.5472,2.544,2.25
1.2352,0.0021032,-0.00047275,0.0073292,0.0035315,1.9772,0.0068721,6.5927,2.544,2.25
1.2352,0.002739,-0.0004148,0.0073538,0.0035432,1.9773,0.0064088,6.6382,2.544,2.25
1.2353,0.0033866,-0.00035734,0.0073769,0.0035545,1.9772,0.0058984,6.6837,2.544,2.25
1.2354,0.0040465,-0.00030048,0.0073979,0.0035654,1.977,0.0053399,6.7292,2.544,2.25
1.2356,0.0047191,-0.00024433,0.0074175,0.0035762,1.9767,0.0047326,6.7747,2.544,2.25
1.2358,0.0054047,-0.00018905,0.0074348,0.0035864,1.9762,0.0040757,6.8202,2.544,2.25
1.2361,0.0061042,-0.00013481,0.0074509,0.0035967,1.9755,0.0033694,6.8657,2.544,2.25
1.2365,0.0068195,-8.1458e-05,0.0074645,0.0036066,1.9748,0.0026119,6.9111,2.544,2.25
1.2369,0.0075533,-2.7393e-05,0.0074783,0.0036162,1.9746,0.0017271,6.9566,2.544,2.25
1.2371,0.0083035,2.9467e-05,0.0075019,0.0036279,1.9756,0.00069367,7.0021,2.5444,2.25
1.2371,0.0090633,9.0043e-05,0.0075368,0.0036412,1.9779,-0.00040994,7.0476,2.5453,2.25
1.2369,0.0098275,0.00015457,0.0075826,0.0036563,1.9814,-0.0015631,7.093,2.5465,2.25
1.2365,0.010592,0.00022307,0.0076386,0.0036729,1.986,-0.0027767,7.1383,2.5482,2.25
1.236,0.011351,0.00029544,0.0077038,0.0036909,1.9916,-0.0040572,7.1835,2.5502,2.25
1.2353,0.012099,0.00037146,0.0077775,0.0037101,1.9983,-0.0054054,7.2286,2.5526,2.25
1.2344,0.012833,0.00045078,0.0078586,0.0037305,2.0057,-0.0068213,7.2736,2.5554,2.25
1.2335,0.013546,0.00053303,0.0079462,0.0037519,2.014,-0.0083052,7.3185,2.5584,2.25
1.2324,0.014235,0.00061776,0.0080393,0.0037742,2.023,-0.0098574,7.3632,2.5617,2.25
1.2312,0.014895,0.00070445,0.0081368,0.0037973,2.0325,-0.011477,7.4078,2.5653,2.25
1.23,0.015522,0.00079252,0.008238,0.003821,2.0426,-0.013162,7.4523,2.5692,2.25
1.2286,0.016113,0.00088124,0.0083415,0.0038452,2.053,-0.014905,7.4967,2.5732,2.25
1.2273,0.016666,0.00096972,0.008446,0.0038695,2.0638,-0.016704,7.5409,2.5775,2.25
1.2259,0.017179,0.001057,0.0085503,0.0038937,2.0747,-0.01856,7.5851,2.5818,2.25
1.2245,0.017651,0.0011423,0.0086536,0.0039176,2.0858,-0.020472,7.6291,2.5863,2.25
1.2231,0.018081,0.0012248,0.008755,0.0039409,2.097,-0.02244,7.6731,2.5909,2.25
1.2217,0.018467,0.0013039,0.008854,0.0039632,2.1081,-0.024462,7.7171,2.5956,2.25
1.2204,0.018809,0.0013787,0.0089501,0.0039845,2.1193,-0.026536,7.761,2.6003,2.25
1.219,0.019108,0.0014486,0.0090429,0.0040044,2.1304,-0.028659,7.8049,2.605,2.25
1.2178,0.019362,0.001513,0.0091321,0.0040227,2.1414,-0.03083,7.8488,2.6097,2.25
1.2166,0.01957,0.0015712,0.0092177,0.0040395,2.1524,-0.033053,7.8926,2.6145,2.25
1.2154,0.019732,0.001623,0.0093002,0.0040545,2.1635,-0.035327,7.9365,2.6193,2.25
1.2142,0.019845,0.0016681,0.0093797,0.0040678,2.1746,-0.037646,7.9803,2.6241,2.25
1.2131,0.019908,0.0017061,0.0094568,0.0040795,2.1859,-0.040007,8.0241,2.6289,2.25
1.212,0.019921,0.0017368,0.0095315,0.0040896,2.1973,-0.042405,8.0679,2.6337,2.25
1.2109,0.019881,0.0017602,0.0096044,0.004098,2.209,-0.044835,8.1117,2.6386,2.25
1.2098,0.019787,0.0017758,0.0096757,0.0041048,2.221,-0.047294,8.1554,2.6436,2.25
1.2087,0.019639,0.0017837,0.0097456,0.0041101,2.2334,-0.049776,8.1991,2.6485,2.25
1.2075,0.019437,0.0017835,0.0098146,0.004114,2.2461,-0.052276,8.2428,2.6535,2.25
1.2063,0.01918,0.0017753,0.0098828,0.0041166,2.2593,-0.054781,8.2864,2.6586,2.25
1.2051,0.018872,0.0017587,0.0099498,0.0041179,2.2728,-0.057279,8.3301,2.6637,2.25
1.2039,0.018515,0.001734,0.010015,0.0041177,2.2866,-0.059764,8.3737,2.6687,2.25
1.2028,0.018113,0.0017012,0.010078,0.0041162,2.3005,-0.062234,8.4174,2.6737,2.25
1.2017,0.01767,0.0016608,0.010139,0.0041134,2.3145,-0.064685,8.4611,2.6786,2.25
1.2006,0.017192,0.0016132,0.010196,0.0041094,2.3284,-0.067111,8.505,2.6834,2.25
1.1997,0.016685,0.0015594,0.010249,0.0041044,2.3418,-0.069503,8.549,2.688,2.25
1.1989,0.016158,0.0015004,0.010296,0.0040988,2.3544,-0.071847,8.5932,2.6923,2.25
1.1984,0.015622,0.0014379,0.010337,0.0040925,2.3656,-0.074132,8.6376,2.6961,2.25
1.1983,0.015089,0.0013738,0.010366,0.0040852,2.3747,-0.076335,8.6824,2.6995,2.25
1.1986,0.014568,0.0013103,0.010391,0.0040795,2.3809,-0.078478,8.7274,2.7021,2.25
1.1995,0.01406,0.0012485,0.010404,0.004073,2.3844,-0.080634,8.7727,2.704,2.25
1.2009,0.013555,0.0011883,0.010396,0.004066,2.3853,-0.082816,8.8181,2.7052,2.25
1.2025,0.01307,0.0011284,0.01038,0.0040421,2.3845,-0.085145,8.8635,2.7058,2.25
1.2053,0.012489,0.0010682,0.010354,0.0040508,2.3824,-0.086987,8.909,2.706,2.25
1.2025,0.012224,0.00098933,0.010326,0.003966,2.3804,-0.092586,8.9545,2.706,2.25
1.1978,0.012311,0.00094065,0.010316,0.0038506,2.3798,-0.097581,9,2.7059,2.25
1.2003,0.010094,0.00064783,0.010653,0.0038905,2.4675,-0.030587,0.045465,2.7252,2.25
1.2096,0.010871,0.00066275,0.010658,0.0039097,2.4678,-0.057297,0,2.7252,2.25
1.1937,0.0093886,0.00058134,0.010636,0.0039689,2.4659,-0.0060433,0.090929,2.7252,2.25
1.1987,0.0093712,0.00048726,0.010611,0.0040484,2.4624,-0.012285,0.13639,2.725,2.25
1.202,0.0090048,0.00041291,0.010579,0.004017,2.4569,-0.01726,0.18183,2.7244,2.25
1.2043,0.0084972,0.0003508,0.010537,0.0040057,2.4486,-0.018655,0.22721,2.7233,2.25
1.2072,0.00808,0.0002929,0.010483,0.0040045,2.4371,-0.019901,0.27246,2.7216,2.25
1.2108,0.0077115,0.00024208,0.010413,0.0039943,2.4222,-0.021409,0.31749,2.7191,2.25
1.2148,0.0073492,0.00019933,0.010328,0.0039795,2.4048,-0.02291,0.36223,2.7159,2.25
1.2192,0.0069871,0.00016304,0.01023,0.003964,2.3855,-0.024391,0.40671,2.7123,2.25
1.2237,0.0066203,0.00013174,0.010124,0.0039472,2.365,-0.02586,0.45096,2.7082,2.25
1.2284,0.0062428,0.00010441,0.010009,0.003929,2.3438,-0.027306,0.49503,2.7039,2.25
1.2331,0.0058512,8.0231e-05,0.009889,0.0039096,2.3222,-0.028715,0.53896,2.6994,2.25
1.2378,0.0054441,5.853e-05,0.0097634,0.0038894,2.3004,-0.030082,0.58278,2.6948,2.25
1.2425,0.0050208,3.8718e-05,0.0096337,0.0038684,2.2785,-0.031402,0.62653,2.6901,2.25
1.2471,0.0045816,2.0279e-05,0.0095005,0.0038469,2.2568,-0.032676,0.67024,2.6854,2.25
1.2516,0.0041268,2.7243e-06,0.0093648,0.003825,2.2353,-0.033903,0.71394,2.6806,2.25
1.256,0.0036578,-1.4395e-05,0.0092273,0.003803,2.2142,-0.035083,0.75764,2.6758,2.25
1.2603,0.0031764,-3.1339e-05,0.0090888,0.003781,2.1935,-0.03621,0.80139,2.6711,2.25
1.2644,0.0026851,-4.8216e-05,0.0089493,0.0037592,2.1731,-0.037275,0.84517,2.6664,2.25
1.2684,0.0021862,-6.5077e-05,0.0088089,0.0037373,2.153,-0.038279,0.88898,2.6618,2.25
1.2723,0.0016813,-8.1882e-05,0.0086675,0.0037154,2.1332,-0.039223,0.93282,2.6572,2.25
1.276,0.0011719,-9.8574e-05,0.0085251,0.0036935,2.1137,-0.040108,0.97669,2.6526,2.25
1.2796,0.00065885,-0.00011512,0.0083817,0.0036716,2.0945,-0.040936,1.0206,2.6481,2.25
1.2831,0.00014306,-0.00013139,0.008237,0.0036495,2.0754,-0.041707,1.0645,2.6436,2.25
1.2865,-0.00037526,-0.00014713,0.0080913,0.0036275,2.0566,-0.042422,1.1084,2.6391,2.25
1.2898,-0.00089619,-0.00016226,0.0079441,0.0036054,2.0379,-0.043082,1.1523,2.6346,2.25
1.293,-0.0014198,-0.00017669,0.0077958,0.0035833,2.0194,-0.04369,1.1963,2.6301,2.25
1.296,-0.0019465,-0.00019019,0.0076464,0.0035612,2.0012,-0.044251,1.2402,2.6256,2.25
1.299,-0.0024767,-0.00020262,0.0074967,0.0035395,1.9832,-0.04477,1.2842,2.6212,2.25
1.3018,-0.0030107,-0.00021417,0.0073472,0.0035177,1.9656,-0.045246,1.3282,2.6168,2.25
1.3045,-0.003548,-0.00022507,0.0071991,0.0034964,1.9485,-0.045678,1.3723,2.6125,2.25
1.307,-0.0040878,-0.0002352,0.0070525,0.003475,1.932,-0.04607,1.4164,2.6083,2.25
1.3094,-0.0046292,-0.00024436,0.0069092,0.003454,1.916,-0.046421,1.4606,2.6042,2.25
1.3115,-0.005171,-0.0002528,0.0067694,0.003433,1.9009,-0.046734,1.5049,2.6002,2.25
1.3135,-0.0057115,-0.00026113,0.0066351,0.0034124,1.8866,-0.04701,1.5493,2.5964,2.25
1.3153,-0.0062479,-0.00026996,0.0065065,0.0033898,1.8733,-0.047249,1.5938,2.5928,2.25
1.3169,-0.0067774,-0.00027963,0.0063859,0.0033648,1.8611,-0.047448,1.6384,2.5894,2.25
1.3183,-0.0072976,-0.00029038,0.0062725,0.0033364,1.85,-0.047604,1.6832,2.5862,2.25
1.3194,-0.0078056,-0.00030267,0.0061688,0.0033074,1.8401,-0.04772,1.7281,2.5834,2.25
1.3203,-0.0082986,-0.00031708,0.0060732,0.0032795,1.8314,-0.047797,1.7731,2.5808,2.25
1.321,-0.0087731,-0.00033435,0.0059895,0.0032546,1.824,-0.047836,1.8182,2.5785,2.25
1.3215,-0.0092257,-0.00035527,0.0059144,0.003231,1.818,-0.047838,1.8634,2.5766,2.25
1.3217,-0.0096527,-0.00038076,0.005853,0.0032115,1.8134,-0.047807,1.9087,2.5751,2.25
1.3217,-0.010051,-0.00041177,0.0058012,0.0031927,1.8102,-0.047744,1.954,2.5739,2.25
1.3214,-0.01042,-0.00044908,0.005763,0.0031768,1.8084,-0.047655,1.9995,2.5731,2.25
1.3209,-0.010756,-0.00049364,0.0057594,0.0031769,1.808,-0.047538,2.0449,2.5727,2.25
1.3202,-0.011066,-0.00054307,0.0057646,0.0031798,1.8084,-0.047333,2.0904,2.5726,2.25
1.3195,-0.011361,-0.00059388,0.0057648,0.003179,1.809,-0.047025,2.1358,2.5726,2.25
1.3187,-0.011645,-0.00064537,0.0057684,0.0031798,1.8097,-0.046685,2.1813,2.5726,2.25
1.3179,-0.011919,-0.00069744,0.0057744,0.0031816,1.8104,-0.046332,2.2268,2.5726,2.25
1.3171,-0.012182,-0.00074999,0.0057761,0.0031808,1.8113,-0.045961,2.2722,2.5726,2.25
1.3162,-0.012437,-0.00080294,0.0057843,0.0031833,1.8122,-0.045565,2.3177,2.5726,2.25
1.3154,-0.012683,-0.00085616,0.0057924,0.0031855,1.8133,-0.045146,2.3632,2.5726,2.25
1.3145,-0.012921,-0.00090945,0.0057976,0.003186,1.8144,-0.044703,2.4086,2.5726,2.25
1.3136,-0.01315,-0.00096268,0.0058035,0.0031866,1.8156,-0.044238,2.4541,2.5726,2.25
1.3127,-0.013372,-0.0010157,0.0058081,0.0031862,1.817,-0.04375,2.4996,2.5726,2.25
1.3117,-0.013586,-0.0010684,0.0058103,0.0031844,1.8183,-0.043239,2.545,2.5726,2.25
1.3108,-0.013792,-0.001121,0.0058158,0.0031841,1.8198,-0.042706,2.5905,2.5726,2.25
