y,T01_0,T01_1,T01_2,T01_3,T01_4,T01_5,T02_0,T02_1,T02_2,T02_3,T02_4,T02_5,T03_0,T03_1,T03_2,T03_3,T03_4,T03_5
0.13437411,-1.130943e-17,1.9161073e-17,-7.8273264e-17,5.6547151e-18,0,5.6547151e-18,-1.8649347e-31,-1.516788e-35,-3.2030643e-33,4.2470133e-33,2.6543833e-37,1.8224646e-31,3.1329255e-32,-5.05596e-36,-1.0676881e-33,-6.0164488e-32,1.3271917e-37,2.8835233e-32
0.14330773,-1.0384455e-17,2.7227084e-17,-1.8826172e-17,5.1922275e-18,0,5.1922275e-18,-1.0169677e-31,-3.0455336e-34,-1.8730408e-33,5.932222e-33,3.7076387e-37,9.5764545e-32,1.7068616e-32,-1.0151779e-34,-6.2434693e-34,-3.0992389e-32,1.8538194e-37,1.3923773e-32
0.1527776,-2.2657543e-18,-6.5627563e-17,-1.6952489e-16,1.132877e-18,0,1.132877e-18,-2.8198932e-31,5.8328604e-35,-1.1816737e-33,2.6086191e-32,1.7284358e-32,2.5590313e-31,4.7075858e-32,1.9442864e-35,-3.9389125e-34,-8.0992162e-32,8.6421793e-33,3.3916305e-32
0.1628159,-3.4058662e-18,-3.5083222e-17,4.8533917e-17,1.702933e-18,0,1.702933e-18,-3.9640482e-31,3.4179285e-34,-4.422164e-33,3.742559e-32,2.5074083e-32,3.5897923e-31,6.6150853e-32,1.1393095e-34,-1.4740547e-33,-1.1346384e-31,1.2537042e-32,4.7312985e-32
0.17345677,9.2272648e-19,3.8805955e-17,1.5772627e-16,-4.613632e-19,0,-4.613632e-19,-1.6996123e-31,2.7418009e-34,-2.7431482e-33,2.0719873e-32,7.4269652e-33,1.4924136e-31,2.8409605e-32,9.1393364e-35,-9.1438278e-34,-4.6335175e-32,3.7134826e-33,1.7925569e-32
0.18473635,-4.2766841e-19,-2.0722906e-17,2.5162364e-17,2.1383438e-19,0,2.1383438e-19,-2.5992672e-32,1.1165789e-33,-8.8795935e-34,1.1154244e-32,-4.1709743e-33,1.4838428e-32,4.4745669e-33,3.7219296e-34,-2.9598644e-34,-3.1583295e-33,-2.0854872e-33,-1.3162374e-33
0.19669301,1.3597618e-18,5.6571338e-18,-4.5971325e-18,-6.7988077e-19,0,-6.7988077e-19,-3.0388049e-32,1.5902032e-33,-2.8748071e-33,7.5652029e-33,-9.0074667e-33,2.2822847e-32,5.4524858e-33,5.3006776e-34,-9.58269e-34,-6.5406538e-33,-4.5037334e-33,1.088168e-33
0.20936737,8.0880618e-18,8.094805e-18,-2.4496047e-17,-4.044031e-18,0,-4.044031e-18,-3.2803417e-32,4.8278738e-34,-3.1161373e-33,6.8761481e-33,-1.3654962e-33,2.5927269e-32,5.8055638e-33,1.6092913e-34,-1.0387124e-33,-7.6655623e-33,-6.8274811e-34,1.8599985e-33
0.22280253,1.6251393e-18,2.2751314e-17,5.2605483e-18,-8.1256961e-19,0,-8.1256961e-19,-3.1869171e-32,-1.2801186e-33,-1.1714257e-33,1.3318861e-32,3.4557842e-33,1.855031e-32,5.4854981e-33,-4.267062e-34,-3.9047522e-34,-4.0506114e-33,1.7278921e-33,-1.4348868e-33
0.23704414,5.5484895e-18,-7.9262362e-18,1.360227e-21,-2.7742448e-18,0,-2.7742448e-18,-2.1417593e-32,-1.8688612e-33,4.7371129e-38,2.1417593e-32,0,2.3685565e-41,3.7738686e-33,-6.2295373e-34,1.5790377e-38,3.4674639e-33,0,-7.2413326e-33
0.25214061,2.2337389e-18,-4.9307384e-17,1.4953473e-21,-1.1168696e-18,0,-1.1168696e-18,-1.0803674e-32,-8.7539597e-34,4.5053441e-38,1.0803674e-32,0,4.637854e-41,1.9426651e-33,-2.9179866e-34,1.5017814e-38,1.7295859e-33,0,-3.6722509e-33
0.26814327,-3.1802383e-18,-8.8349496e-18,5.1946133e-21,1.5901191e-18,0,1.5901191e-18,-2.392332e-33,-5.9808286e-34,3.6744941e-37,2.3923314e-33,-1.0264292e-36,5.8298258e-40,5.6730242e-34,-1.9936095e-34,1.2248314e-37,3.1443152e-34,-5.1321462e-37,-8.817339e-34
