"wallGradU:0","wallGradU:1","wallGradU:2","Points:0","Points:1","Points:2"
-4.240077,-0.002715466,3.868553e-20,5.701142,0,0.08928572
-3.830074,-0.002724121,-3.927815e-20,5.781219,0,0.08928572
-3.43688,-0.002725911,1.16255e-21,5.861295,0,0.08928572
-3.061151,-0.002720992,-1.11986e-21,5.941371,0,0.08928572
-2.703401,-0.002709799,-3.984811e-20,6.021447,0,0.08928572
-2.364467,-0.002691834,4.039798e-20,6.101523,0,0.08928572
-2.045392,-0.002666908,-4.192894e-20,6.181599,0,0.08928572
-1.747882,-0.002634692,4.240365e-20,6.261675,0,0.08928572
-1.473441,-0.002595768,8.479015e-20,6.341752,0,0.08928572
-1.224564,-0.002549574,-4.240392e-20,6.421828,0,0.08928572
-1.003391,-0.002495596,-4.286148e-20,6.501904,0,0.08928572
-0.8147912,-0.002430883,0,6.58198,0,0.08928572
-0.6632901,-0.002353263,0,6.662056,0,0.08928572
-0.5592754,-0.002257812,4.495087e-20,6.742132,0,0.08928572
-0.5114963,-0.002138064,4.534144e-20,6.822208,0,0.08928572
-0.5437397,-0.001991668,-4.495074e-20,6.902285,0,0.08928572
-0.6678389,-0.001730671,1.391445e-19,6.982361,0,0.08928572
-0.9959577,-0.02346766,-7.089037e-23,7.062437,-7.250703e-09,0.08928572
-1.33177,-0.1117944,-7.673269e-16,7.142433,0.002926253,0.08928572
-1.360071,-0.2267668,-3.864114e-15,7.221833,0.01309238,0.08928572
-1.215666,-0.3044786,-3.09721e-15,7.300043,0.03016298,0.08928572
-0.9429232,-0.3055387,3.16245e-15,7.376593,0.05359499,0.08928572
-0.5090991,-0.1905686,-3.500035e-17,7.451152,0.0827581,0.08928572
0.08486374,0.08008655,3.315838e-17,7.523522,0.1169988,0.08928572
0.9307244,0.5880777,-3.31258e-17,7.593619,0.1556868,0.08928572
2.096115,1.403312,-6.553914e-15,7.661582,0.1980145,0.08928572
3.590441,2.541371,-6.597468e-15,7.727831,0.2429926,0.08928572
5.38379,3.969272,1.845582e-18,7.792788,0.2898216,0.08928572
7.457906,5.639153,1.485844e-17,7.856853,0.33786,0.08928572
9.708467,7.428102,-3.888308e-17,7.920412,0.3865677,0.08928572
11.95666,9.213124,3.255661e-15,7.98378,0.435523,0.08928572
14.27004,11.10733,2.347531e-20,8.046954,0.4847283,0.08928572
16.83277,13.29677,2.452538e-25,8.109818,0.5343306,0.08928572
19.85614,15.98557,-2.347508e-20,8.172255,0.584468,0.08928572
23.58592,19.42555,2.726549e-15,8.234157,0.6352658,0.08928572
28.86863,24.27246,2.726565e-15,8.295416,0.6868324,0.08928572
36.69168,30.87081,9.967358e-21,8.356187,0.7389815,0.08928572
47.63769,38.82171,0,8.417223,0.7908176,0.08928572
62.60055,47.50855,0,8.479404,0.8412691,0.08928572
83.32967,55.63486,1.185392e-21,8.543708,0.8889793,0.08928572
107.9121,57.80933,-5.382702e-25,8.611325,0.9318156,0.08928572
122.0109,45.38759,-2.029984e-15,8.683553,0.9662149,0.08928572
105.1749,22.73512,-3.323287e-15,8.760509,0.9880009,0.08928572
71.48931,6.329244,-1.293373e-15,8.839898,0.9980272,0.08928572
39.02726,0.803177,7.026081e-17,8.919925,1.000361,0.08928572
21.78471,-0.08151319,1.405238e-16,9,1,0.08928572
