y,gradU_0,gradU_1,gradU_2,gradU_3,gradU_4,gradU_5,gradU_6,gradU_7,gradU_8
2.9805146,-1.3827128e-18,0,0,6.8191829e-18,0,0,2.5837151e-21,0,0
2.9844579,-3.9300685e-19,0,0,-2.1731118e-17,0,0,-3.6213639e-22,0,0
2.9881778,-1.6444284e-19,0,0,1.7023834e-18,0,0,-2.8785172e-21,0,0
2.9916871,-2.1892105e-19,0,0,6.1782053e-18,0,0,1.3175281e-22,0,0
2.9949976,-1.0316183e-18,0,0,-3.2508051e-17,0,0,-1.2153665e-21,0,0
2.9981205,-1.2738868e-18,0,0,-1.7677385e-17,0,0,-3.6812705e-16,0,0
3.0010666,-1.4181423e-18,0,0,1.0774417e-17,0,0,2.2474932e-17,0,0
3.0038458,-1.2101216e-18,0,0,-2.0587685e-17,0,0,2.6679733e-16,0,0
3.0064677,-7.9022159e-19,0,0,-2.9968704e-17,0,0,6.6443379e-18,0,0
3.008941,-6.2409338e-19,0,0,4.4558251e-17,0,0,3.3432601e-16,0,0
3.0112742,-4.464586e-19,0,0,2.1869421e-17,0,0,4.1963938e-16,0,0
3.0134753,-5.7495969e-19,0,0,-2.6075283e-17,0,0,-2.4102623e-16,0,0
3.0155518,5.0313459e-20,0,0,1.341884e-17,0,0,-4.5822471e-16,0,0
3.0175106,-3.101709e-19,0,0,4.0188401e-17,0,0,2.4644878e-16,0,0
3.0193585,-1.0450543e-18,0,0,1.4180349e-18,0,0,-2.7602675e-16,0,0
3.0211018,-1.2303601e-18,0,0,-4.6148488e-17,0,0,4.3919148e-16,0,0
3.0227463,-1.5529086e-18,0,0,-1.6275093e-17,0,0,2.3611757e-16,0,0
3.0242977,-1.6558407e-18,0,0,-5.3576375e-17,0,0,-7.2627422e-16,0,0
3.0257612,-3.8111181e-19,0,0,-1.306068e-17,0,0,-1.2279293e-16,0,0
3.0271418,3.6043638e-19,0,0,1.8548765e-17,0,0,2.9259006e-17,0,0
3.0284443,-6.0984628e-19,0,0,-2.1036646e-17,0,0,-2.3746131e-16,0,0
3.029673,3.9321901e-19,0,0,6.9273529e-17,0,0,1.1893361e-16,0,0
3.0308321,-3.0418841e-19,0,0,-2.4691626e-17,0,0,3.814798e-16,0,0
3.0319256,-1.9139265e-18,0,0,2.7407378e-17,0,0,-1.2768641e-16,0,0
3.0329571,-2.5944418e-19,0,0,1.8116355e-17,0,0,2.4828697e-22,0,0
3.0339302,3.8873694e-19,0,0,-1.0975167e-16,0,0,-3.0171292e-16,0,0
3.0348483,1.5839792e-15,0,0,-0.57746559,0,0,1.8719634e-17,0,0
3.0357143,3.1736213e-15,0,0,-1.1549319,0,0,6.3791504e-16,0,0
