y,U_0,U_1,U_2,UMean_0,UMean_1,UMean_2
2.7101255,1.1068884,0.0099528765,-7.5678474e-24,1.1043459,0.011130867,-8.2008369e-24
2.7206865,1.1047052,0.0096602068,-1.9869389e-25,1.102225,0.010797378,5.2887138e-24
2.7309151,1.1023533,0.0093742847,3.4055856e-24,1.0999325,0.010469329,4.6022685e-25
2.7408218,1.0998334,0.0090950194,1.4545244e-24,1.0974697,0.01014655,7.988376e-25
2.7504166,1.0971466,0.0088223402,1.5305371e-24,1.0948381,0.0098287495,1.2124848e-24
2.7597095,1.094295,0.0085561517,3.290214e-24,1.0920398,0.0095158655,-1.739657e-24
2.7687098,1.0912812,0.0082963025,-1.6729871e-24,1.0890775,0.0092076425,-3.4330605e-24
2.7774269,1.0881085,0.0080425602,-7.3014331e-24,1.0859548,0.0089039036,-5.1926052e-24
2.7858696,1.0847806,0.0077946032,-3.3730657e-25,1.0826751,0.0086043999,2.2305431e-24
2.7940466,1.0813022,0.0075520563,-2.6330175e-25,1.079243,0.0083090746,3.0684162e-24
2.8019663,1.0776782,0.0073145734,1.5478411e-24,1.0756632,0.0080177553,3.758211e-24
2.8096366,1.0739139,0.0070820369,-1.7727471e-24,1.071941,0.0077304256,-7.1154346e-24
2.8170656,1.0700136,0.0068554916,-2.0139618e-24,1.0680813,0.0074469432,-2.3593617e-24
2.8242607,1.0659823,0.0066348425,2.0882668e-24,1.0640895,0.0071673327,6.3153172e-24
2.8312293,1.0618256,0.0064188897,2.5363734e-24,1.0599708,0.0068914952,2.1135872e-24
2.8379786,1.0575493,0.0062075715,-5.6825517e-25,1.0557313,0.0066195508,-4.2759371e-25
2.8445155,1.053159,0.006000969,-1.0475174e-24,1.0513771,0.0063515963,1.5518423e-24
2.8508467,1.0486607,0.0057991427,1.8653841e-24,1.0469143,0.0060877185,-4.8863399e-24
2.8569786,1.04406,0.005602063,-2.1887429e-24,1.0423489,0.0058281353,-5.4953328e-24
2.8629174,1.0393625,0.0054096178,1.0278461e-24,1.0376868,0.0055729102,5.2397737e-24
2.8686694,1.0345736,0.0052215996,-3.2059736e-25,1.0329336,0.0053222104,3.9209773e-24
2.8742403,1.0296988,0.0050377232,7.1043422e-25,1.028094,0.0050762356,1.7674455e-24
2.8796359,1.0247435,0.0048576829,2.0393424e-24,1.0231728,0.0048348933,4.4567714e-25
2.8848616,1.0197131,0.0046812268,-1.5346942e-24,1.0181741,0.0045983156,-2.4280212e-24
2.8899229,1.0146128,0.0045081934,3.4650859e-26,1.0131024,0.0043664618,4.3798558e-24
2.8948249,1.0094468,0.0043384757,-1.8226846e-24,1.0079615,0.0041393319,-2.9794353e-24
2.8995726,1.0042188,0.0041719925,-1.8483938e-24,1.0027558,0.0039171256,-8.7274032e-24
2.9041708,0.99893227,0.0040087319,1.4711851e-24,0.99748918,0.0036999876,7.0868212e-24
2.9086243,0.99359133,0.0038487002,3.6412083e-24,0.99216545,0.003488318,5.7969441e-24
2.9129377,0.9881995,0.0036918556,1.7013783e-24,0.98678758,0.0032821631,-4.3557656e-24
2.9171153,0.98275938,0.0035381355,-1.0657327e-24,0.98135824,0.0030816666,-4.8980455e-24
2.9211614,0.97727292,0.0033874564,-1.9010748e-24,0.97587969,0.0028868368,3.4090596e-24
2.9250802,0.97174149,0.0032397121,-3.3743446e-25,0.97035351,0.0026977208,2.624515e-24
2.9288756,0.966166,0.0030947901,1.9845714e-24,0.96478057,0.0025143469,-6.3098049e-24
