y,R_0,R_1,R_2,R_3,R_4,R_5,RB_0,RB_1,RB_2,RB_3,RB_4,RB_5
0.892319,0.047309364,-0.020006556,-2.8632643e-20,0.046011043,2.0101742e-22,0.046660225,0.047309364,-0.020006556,-2.8632646e-20,0.046011043,2.0101737e-22,0.046660225
0.9467489,0.047148035,-0.020109829,5.4672479e-21,0.045356339,-9.6819821e-22,0.04625221,0.047148035,-0.020109829,5.4672454e-21,0.045356339,-9.6819825e-22,0.04625221
1.004446,0.046642409,-0.02005051,-6.3485055e-20,0.04439223,2.2901392e-21,0.045517321,0.046642409,-0.02005051,-6.3485055e-20,0.04439223,2.2901392e-21,0.045517321
1.0656064,0.04576393,-0.019812822,-4.7258518e-17,0.043113351,1.1715134e-18,0.04443861,0.04576393,-0.019812823,-4.7258521e-17,0.043113351,1.1715134e-18,0.04443861
1.1304381,0.044498638,-0.019386361,1.3558605e-18,0.041531646,-4.0577184e-20,0.04301502,0.044498638,-0.019386361,1.3558581e-18,0.041531646,-4.0577159e-20,0.04301502
1.1668563,0.043624962,-0.019057727,6.2849202e-17,0.04055017,-1.3128926e-18,0.042087329,0.043624962,-0.019057727,6.2849201e-17,0.04055017,-1.3128926e-18,0.042087329
1.1991613,0.042850398,-0.018766805,1.1536426e-16,0.039680628,-2.4080776e-18,0.041265173,0.042850398,-0.018766805,1.1536426e-16,0.039680628,-2.4080776e-18,0.041265173
1.2720096,0.040845831,-0.017951563,1.5340464e-17,0.037612601,-2.0444713e-19,0.039228855,0.040845831,-0.017951562,1.5340464e-17,0.037612601,-2.0444713e-19,0.039228855
1.3492308,0.038546512,-0.016944441,-3.6745715e-17,0.03538601,6.5600768e-19,0.036966178,0.038546512,-0.016944441,-3.6745716e-17,0.03538601,6.5600769e-19,0.036966178
1.4310872,0.036046939,-0.015770048,-1.1749868e-16,0.033063484,1.171981e-18,0.034555182,0.036046939,-0.015770047,-1.1749869e-16,0.033063484,1.171981e-18,0.034555182
1.5178571,0.033475185,-0.014488707,1.9503303e-18,0.030741408,-1.800865e-20,0.032108188,0.033475185,-0.014488707,1.9503278e-18,0.030741408,-1.800865e-20,0.032108188
1.6046271,0.031015739,-0.013205346,1.2526726e-17,0.028574406,-3.3027674e-19,0.029795015,0.031015739,-0.013205346,1.2526729e-17,0.028574406,-3.3027675e-19,0.029795015
1.6864835,0.028802832,-0.012000552,1.3464579e-17,0.02666709,-1.0426985e-19,0.027734987,0.028802832,-0.012000552,1.3464585e-17,0.02666709,-1.042699e-19,0.027734987
