x,y,z,U_0,U_1,U_2
2.36887,0.240084,0.05,-0.00116455,-0.000323314,-5.14237e-22
2.36887,0.243123,0.05,-0.00112436,-0.000331397,-7.2213e-23
2.36887,0.246162,0.05,-0.00108224,-0.000338745,3.27698e-23
2.36887,0.249201,0.05,-0.00104011,-0.000346094,1.37753e-22
2.36887,0.25224,0.05,-0.000997985,-0.000353442,2.42735e-22
2.36887,0.255279,0.05,-0.000952608,-0.000357986,1.27077e-22
2.36887,0.258318,0.05,-0.000912297,-0.000368186,-1.07352e-22
2.36887,0.261357,0.05,-0.000868424,-0.00037578,-1.81984e-22
2.36887,0.264396,0.05,-0.000824551,-0.000383374,-2.56616e-22
2.36887,0.267435,0.05,-0.000780678,-0.000390968,-3.31248e-22
2.36887,0.270474,0.05,-0.000733862,-0.000396347,-1.86949e-22
2.36887,0.273514,0.05,-0.000691195,-0.000406269,-1.17554e-22
2.36887,0.276553,0.05,-0.000645522,-0.000414109,-3.21548e-23
2.36887,0.279592,0.05,-0.00059985,-0.000421948,5.32443e-23
2.36887,0.282631,0.05,-0.000554177,-0.000429788,1.38643e-22
2.36887,0.28567,0.05,-0.000505086,-0.000435225,1.99503e-22
2.36887,0.288709,0.05,-0.000461092,-0.000445612,3.8486e-22
2.36887,0.291748,0.05,-0.000413561,-0.000453697,4.10946e-22
2.36887,0.294787,0.05,-0.00036603,-0.000461781,4.37032e-22
2.36887,0.297826,0.05,-0.0003185,-0.000469866,4.63117e-22
2.36887,0.300865,0.05,-0.000268042,-0.000476034,3.67583e-22
2.36887,0.303904,0.05,-0.000222031,-0.000486175,2.50157e-22
2.36887,0.306943,0.05,-0.000172579,-0.000494503,1.8605e-22
2.36887,0.309982,0.05,-0.000123127,-0.00050283,1.21943e-22
2.36887,0.313021,0.05,-7.36757e-05,-0.000511158,5.78357e-23
2.36887,0.31606,0.05,-2.34352e-05,-0.000519024,6.74962e-24
2.36887,0.319099,0.05,2.78988e-05,-0.00052679,1.27837e-23
2.36887,0.322138,0.05,7.73665e-05,-0.00053648,1.9919e-24
2.36887,0.325177,0.05,0.000128807,-0.000545046,1.18491e-24
2.36887,0.328216,0.05,0.000180247,-0.000553612,3.77928e-25
2.36887,0.331255,0.05,0.000231687,-0.000562178,-4.29057e-25
2.36887,0.334294,0.05,0.000286464,-0.000569024,-9.7683e-25
2.36887,0.337333,0.05,0.000336304,-0.000579516,-7.62859e-25
2.36887,0.340372,0.05,0.000389692,-0.000588373,2.52238e-23
2.36887,0.343411,0.05,0.000443191,-0.000597172,5.17473e-23
2.36887,0.34645,0.05,0.000496691,-0.000605971,7.82708e-23
2.36887,0.349489,0.05,0.00055019,-0.000614769,1.04794e-22
2.36887,0.352529,0.05,0.000608428,-0.000621455,1.3052e-22
2.36887,0.355568,0.05,0.000659416,-0.000632755,1.03616e-22
2.36887,0.358607,0.05,0.000715049,-0.000641776,6.49011e-23
2.36887,0.361646,0.05,0.000770681,-0.000650798,2.61867e-23
2.36887,0.364685,0.05,0.000826314,-0.00065982,-1.25278e-23
2.36887,0.367724,0.05,0.000881947,-0.000668842,-5.12422e-23
2.36887,0.370763,0.05,0.000942641,-0.000675951,-2.65273e-23
2.36887,0.373802,0.05,0.000995672,-0.00068736,2.32101e-22
2.36887,0.376841,0.05,0.00105351,-0.000696592,1.51335e-22
2.36887,0.37988,0.05,0.00111135,-0.000705824,7.05686e-23
2.36887,0.382919,0.05,0.00116919,-0.000715057,-1.01974e-23
2.36887,0.385958,0.05,0.00122703,-0.000724289,-9.09634e-23
2.36887,0.388997,0.05,0.00128934,-0.000732103,-4.04401e-22
2.36887,0.392036,0.05,0.00134604,-0.000742843,-6.57197e-22
2.36887,0.395075,0.05,0.00140511,-0.000752709,-6.34574e-22
2.36887,0.398114,0.05,0.00146523,-0.000762135,-5.4309e-22
2.36887,0.401153,0.05,0.00152535,-0.000771561,-4.51607e-22
2.36887,0.404192,0.05,0.00158547,-0.000780987,-3.60123e-22
2.36887,0.407231,0.05,0.00164831,-0.000789714,-1.68023e-22
2.36887,0.41027,0.05,0.00171059,-0.000799166,1.29879e-22
2.36887,0.413309,0.05,0.00176982,-0.000810002,3.78015e-22
2.36887,0.416348,0.05,0.00183229,-0.000819601,5.14008e-22
2.36887,0.419387,0.05,0.00189477,-0.000829199,6.50001e-22
2.36887,0.422426,0.05,0.00195725,-0.000838797,7.85994e-22
2.36887,0.425465,0.05,0.00201972,-0.000848396,9.21988e-22
2.36887,0.428505,0.05,0.00208763,-0.000856898,7.42842e-22
2.36887,0.431544,0.05,0.00214923,-0.000867756,6.20078e-22
2.36887,0.434583,0.05,0.00221247,-0.000878078,5.55683e-22
2.36887,0.437622,0.05,0.00227737,-0.000887822,5.16848e-22
2.36887,0.440661,0.05,0.00234226,-0.000897566,4.78013e-22
2.36887,0.4437,0.05,0.00240716,-0.000907311,4.39179e-22
2.36887,0.446739,0.05,0.00247349,-0.000916838,4.25537e-22
2.36887,0.449778,0.05,0.00254379,-0.000925799,4.82379e-22
2.36887,0.452817,0.05,0.0026067,-0.000937069,4.22562e-22
2.36887,0.455856,0.05,0.00267298,-0.000947274,2.76172e-22
2.36887,0.458895,0.05,0.00274036,-0.000957132,1.01546e-22
2.36887,0.461934,0.05,0.00280774,-0.00096699,-7.30796e-23
2.36887,0.464973,0.05,0.00287512,-0.000976847,-2.47705e-22
2.36887,0.468012,0.05,0.00294438,-0.000986502,-3.96919e-22
2.36887,0.471051,0.05,0.00301731,-0.00099579,-4.96954e-22
2.36887,0.47409,0.05,0.00308287,-0.00100697,-6.98757e-22
2.36887,0.477129,0.05,0.0031513,-0.00101733,-7.37077e-22
2.36887,0.480168,0.05,0.0032212,-0.00102726,-6.90858e-22
2.36887,0.483207,0.05,0.00329111,-0.00103719,-6.44639e-22
2.36887,0.486246,0.05,0.00336102,-0.00104712,-5.98421e-22
2.36887,0.489285,0.05,0.00343209,-0.00105697,-5.10934e-22
2.36887,0.492324,0.05,0.00350782,-0.0010665,-2.59178e-22
2.36887,0.495363,0.05,0.00357751,-0.00107726,-1.75024e-22
