(x/h,y/h,z/h)
(7.0,1.281989694,0.0)
(7.0,1.275800943,0.0)
(7.0,1.269612193,0.0)
(7.0,1.263423443,0.0)
(7.0,1.257234693,0.0)
(7.0,1.251045942,0.0)
(7.0,1.244857192,0.0)
(7.0,1.238668442,0.0)
(7.0,1.232479692,0.0)
(7.0,1.226290941,0.0)
(7.0,1.220102191,0.0)
(7.0,1.213913441,0.0)
(7.0,1.20772469,0.0)
(7.0,1.201535821,0.0)
(7.0,1.195347071,0.0)
(7.0,1.18915832,0.0)
(7.0,1.18296957,0.0)
(7.0,1.17678082,0.0)
(7.0,1.17059207,0.0)
(7.0,1.164403319,0.0)
(7.0,1.158214569,0.0)
(7.0,1.152025819,0.0)
(7.0,1.145837069,0.0)
(7.0,1.139648318,0.0)
(7.0,1.133459568,0.0)
(7.0,1.127270818,0.0)
(7.0,1.121082067,0.0)
(7.0,1.114893317,0.0)
(7.0,1.108704567,0.0)
(7.0,1.102515817,0.0)
(7.0,1.096327066,0.0)
(7.0,1.090138197,0.0)
(7.0,1.083949447,0.0)
(7.0,1.077760696,0.0)
(7.0,1.071571946,0.0)
(7.0,1.065383196,0.0)
(7.0,1.059194446,0.0)
(7.0,1.053005695,0.0)
(7.0,1.046816945,0.0)
(7.0,1.040628195,0.0)
(7.0,1.034439445,0.0)
(7.0,1.028250694,0.0)
(7.0,1.022061944,0.0)
(7.0,1.015873194,0.0)
(7.0,1.009684443,0.0)
(7.0,1.003495693,0.0)
(7.0,0.9973068833,0.0)
(7.0,0.9911181331,0.0)
(7.0,0.9849293828,0.0)
(7.0,0.9787406325,0.0)
(7.0,0.9725518823,0.0)
(7.0,0.966363132,0.0)
(7.0,0.9601743817,0.0)
(7.0,0.9539855719,0.0)
(7.0,0.9477968216,0.0)
(7.0,0.9416080713,0.0)
(7.0,0.9354193211,0.0)
(7.0,0.9292305708,0.0)
(7.0,0.9230418205,0.0)
(7.0,0.9168530703,0.0)
(7.0,0.91066432,0.0)
(7.0,0.9044755697,0.0)
(7.0,0.8982867599,0.0)
(7.0,0.8920980096,0.0)
(7.0,0.8859092593,0.0)
(7.0,0.8797205091,0.0)
(7.0,0.8735317588,0.0)
(7.0,0.8673430085,0.0)
(7.0,0.8611542583,0.0)
(7.0,0.854965508,0.0)
(7.0,0.8487767577,0.0)
(7.0,0.8425879478,0.0)
(7.0,0.8363991976,0.0)
(7.0,0.8302104473,0.0)
(7.0,0.824021697,0.0)
(7.0,0.8178329468,0.0)
(7.0,0.8116441965,0.0)
(7.0,0.8054554462,0.0)
(7.0,0.799266696,0.0)
(7.0,0.7930779457,0.0)
(7.0,0.7868891358,0.0)
(7.0,0.7807003856,0.0)
(7.0,0.7745116353,0.0)
(7.0,0.768322885,0.0)
(7.0,0.7621341348,0.0)
(7.0,0.7559453845,0.0)
(7.0,0.7497566342,0.0)
(7.0,0.743567884,0.0)
(7.0,0.7373790741,0.0)
(7.0,0.7311903238,0.0)
(7.0,0.7250015736,0.0)
(7.0,0.7188128233,0.0)
(7.0,0.712624073,0.0)
(7.0,0.7064353228,0.0)
(7.0,0.7002465725,0.0)
(7.0,0.6940578222,0.0)
(7.0,0.687869072,0.0)
(7.0,0.6816802621,0.0)
(7.0,0.6754915118,0.0)
(7.0,0.6693027616,0.0)
(7.0,0.6631140113,0.0)
(7.0,0.656925261,0.0)
(7.0,0.6507365108,0.0)
(7.0,0.6445477605,0.0)
(7.0,0.6383590102,0.0)
(7.0,0.63217026,0.0)
(7.0,0.6259814501,0.0)
(7.0,0.6197926998,0.0)
(7.0,0.6136039495,0.0)
(7.0,0.6074151993,0.0)
(7.0,0.601226449,0.0)
(7.0,0.5950376987,0.0)
(7.0,0.5888489485,0.0)
(7.0,0.5826601982,0.0)
(7.0,0.5764714479,0.0)
(7.0,0.5702826381,0.0)
(7.0,0.5640938878,0.0)
(7.0,0.5579051375,0.0)
(7.0,0.5517163873,0.0)
(7.0,0.545527637,0.0)
(7.0,0.5393388867,0.0)
(7.0,0.5331501365,0.0)
(7.0,0.5269613862,0.0)
(7.0,0.5207726359,0.0)
(7.0,0.5145838261,0.0)
(7.0,0.5083950758,0.0)
(7.0,0.5022063255,0.0)
(7.0,0.4960175753,0.0)
(7.0,0.489828825,0.0)
(7.0,0.4836400747,0.0)
(7.0,0.4774513245,0.0)
(7.0,0.4712625444,0.0)
(7.0,0.4650737941,0.0)
(7.0,0.4588850439,0.0)
(7.0,0.4526962936,0.0)
(7.0,0.4465075135,0.0)
(7.0,0.4403187633,0.0)
(7.0,0.434130013,0.0)
(7.0,0.4279412627,0.0)
(7.0,0.4217525125,0.0)
(7.0,0.4155637324,0.0)
(7.0,0.4093749821,0.0)
(7.0,0.4031862319,0.0)
(7.0,0.3969974816,0.0)
(7.0,0.3908087015,0.0)
(7.0,0.3846199512,0.0)
(7.0,0.378431201,0.0)
(7.0,0.3722424507,0.0)
(7.0,0.3660537004,0.0)
(7.0,0.3598649204,0.0)
(7.0,0.3536761701,0.0)
(7.0,0.3474874198,0.0)
(7.0,0.3412986696,0.0)
(7.0,0.3351098895,0.0)
(7.0,0.3289211392,0.0)
(7.0,0.322732389,0.0)
(7.0,0.3165436387,0.0)
(7.0,0.3103548884,0.0)
(7.0,0.3041661084,0.0)
(7.0,0.2979773581,0.0)
(7.0,0.2917886078,0.0)
(7.0,0.2855998576,0.0)
(7.0,0.2794110775,0.0)
(7.0,0.2732223272,0.0)
(7.0,0.267033577,0.0)
(7.0,0.2608448267,0.0)
(7.0,0.2546560466,0.0)
(7.0,0.2484673113,0.0)
(7.0,0.2422785461,0.0)
(7.0,0.2360897958,0.0)
(7.0,0.2299010307,0.0)
(7.0,0.2237122804,0.0)
(7.0,0.2175235152,0.0)
(7.0,0.211334765,0.0)
(7.0,0.2051459998,0.0)
(7.0,0.1989572495,0.0)
(7.0,0.1927684844,0.0)
(7.0,0.1865797341,0.0)
(7.0,0.1803909838,0.0)
(7.0,0.1742022187,0.0)
(7.0,0.1680134684,0.0)
(7.0,0.1618247032,0.0)
(7.0,0.1556359529,0.0)
(7.0,0.1494471878,0.0)
(7.0,0.1432584375,0.0)
(7.0,0.1370696723,0.0)
(7.0,0.1308809221,0.0)
