(x/h,y/h,z/h)
(0.5,1.824064374,0.0)
(0.5,1.819301367,0.0)
(0.5,1.81453836,0.0)
(0.5,1.809775352,0.0)
(0.5,1.805012345,0.0)
(0.5,1.800249457,0.0)
(0.5,1.79548645,0.0)
(0.5,1.790723443,0.0)
(0.5,1.785960436,0.0)
(0.5,1.781197429,0.0)
(0.5,1.776434541,0.0)
(0.5,1.771671534,0.0)
(0.5,1.766908526,0.0)
(0.5,1.762145519,0.0)
(0.5,1.757382512,0.0)
(0.5,1.752619505,0.0)
(0.5,1.747856617,0.0)
(0.5,1.74309361,0.0)
(0.5,1.738330603,0.0)
(0.5,1.733567595,0.0)
(0.5,1.728804588,0.0)
(0.5,1.7240417,0.0)
(0.5,1.719278693,0.0)
(0.5,1.714515686,0.0)
(0.5,1.709752679,0.0)
(0.5,1.704989672,0.0)
(0.5,1.700226784,0.0)
(0.5,1.695463777,0.0)
(0.5,1.690700769,0.0)
(0.5,1.685937762,0.0)
(0.5,1.681174755,0.0)
(0.5,1.676411867,0.0)
(0.5,1.67164886,0.0)
(0.5,1.666885853,0.0)
(0.5,1.662122846,0.0)
(0.5,1.657359838,0.0)
(0.5,1.652596831,0.0)
(0.5,1.647833943,0.0)
(0.5,1.643070936,0.0)
(0.5,1.638307929,0.0)
(0.5,1.633544922,0.0)
(0.5,1.628781915,0.0)
(0.5,1.624019027,0.0)
(0.5,1.61925602,0.0)
(0.5,1.614493012,0.0)
(0.5,1.609730005,0.0)
(0.5,1.604966998,0.0)
(0.5,1.60020411,0.0)
(0.5,1.595441103,0.0)
(0.5,1.590678096,0.0)
(0.5,1.585915089,0.0)
(0.5,1.581152081,0.0)
(0.5,1.576389194,0.0)
(0.5,1.571626186,0.0)
(0.5,1.566863179,0.0)
(0.5,1.562100172,0.0)
(0.5,1.557337165,0.0)
(0.5,1.552574158,0.0)
(0.5,1.54781127,0.0)
(0.5,1.543048263,0.0)
(0.5,1.538285255,0.0)
(0.5,1.533522248,0.0)
(0.5,1.528759241,0.0)
(0.5,1.523996353,0.0)
(0.5,1.519233346,0.0)
(0.5,1.514470339,0.0)
(0.5,1.509707332,0.0)
(0.5,1.504944324,0.0)
(0.5,1.500181437,0.0)
(0.5,1.495418429,0.0)
(0.5,1.490655422,0.0)
(0.5,1.485892415,0.0)
(0.5,1.481129408,0.0)
(0.5,1.47636652,0.0)
(0.5,1.471603513,0.0)
(0.5,1.466840506,0.0)
(0.5,1.462077498,0.0)
(0.5,1.457314491,0.0)
(0.5,1.452551484,0.0)
(0.5,1.447788596,0.0)
(0.5,1.443025589,0.0)
(0.5,1.438262582,0.0)
(0.5,1.433499575,0.0)
(0.5,1.428736567,0.0)
(0.5,1.42397368,0.0)
(0.5,1.419210672,0.0)
(0.5,1.414447665,0.0)
(0.5,1.409684658,0.0)
(0.5,1.404921651,0.0)
(0.5,1.400158763,0.0)
(0.5,1.395395756,0.0)
(0.5,1.390632749,0.0)
(0.5,1.385869741,0.0)
(0.5,1.381106734,0.0)
(0.5,1.376343846,0.0)
(0.5,1.371580839,0.0)
(0.5,1.366817832,0.0)
(0.5,1.362054825,0.0)
(0.5,1.357291818,0.0)
(0.5,1.352528811,0.0)
(0.5,1.347765923,0.0)
(0.5,1.343002915,0.0)
(0.5,1.338239908,0.0)
(0.5,1.333476901,0.0)
(0.5,1.328713894,0.0)
(0.5,1.323951006,0.0)
(0.5,1.319187999,0.0)
(0.5,1.314424992,0.0)
(0.5,1.309661984,0.0)
(0.5,1.304898977,0.0)
(0.5,1.300136089,0.0)
(0.5,1.295373082,0.0)
(0.5,1.290610075,0.0)
(0.5,1.285847068,0.0)
(0.5,1.281084061,0.0)
(0.5,1.276321173,0.0)
(0.5,1.271558166,0.0)
(0.5,1.266795158,0.0)
(0.5,1.262032151,0.0)
(0.5,1.257269144,0.0)
(0.5,1.252506137,0.0)
(0.5,1.247743249,0.0)
(0.5,1.242980242,0.0)
(0.5,1.238217235,0.0)
(0.5,1.233454227,0.0)
(0.5,1.22869122,0.0)
(0.5,1.223928332,0.0)
(0.5,1.219165325,0.0)
(0.5,1.214402318,0.0)
(0.5,1.209639311,0.0)
(0.5,1.204876304,0.0)
(0.5,1.200113416,0.0)
(0.5,1.195350409,0.0)
(0.5,1.190587401,0.0)
(0.5,1.185824394,0.0)
(0.5,1.181061387,0.0)
(0.5,1.176298499,0.0)
(0.5,1.171535492,0.0)
(0.5,1.166772485,0.0)
(0.5,1.162009478,0.0)
(0.5,1.15724647,0.0)
(0.5,1.152483463,0.0)
(0.5,1.147720575,0.0)
(0.5,1.142957568,0.0)
(0.5,1.138194561,0.0)
(0.5,1.133431554,0.0)
(0.5,1.128668547,0.0)
