(x/h,y/h,z/h)
(8.0,0.8487767577,0.0)
(8.0,0.8425879478,0.0)
(8.0,0.8363991976,0.0)
(8.0,0.8302104473,0.0)
(8.0,0.824021697,0.0)
(8.0,0.8178329468,0.0)
(8.0,0.8116441965,0.0)
(8.0,0.8054554462,0.0)
(8.0,0.799266696,0.0)
(8.0,0.7930779457,0.0)
(8.0,0.7868891358,0.0)
(8.0,0.7807003856,0.0)
(8.0,0.7745116353,0.0)
(8.0,0.768322885,0.0)
(8.0,0.7621341348,0.0)
(8.0,0.7559453845,0.0)
(8.0,0.7497566342,0.0)
(8.0,0.743567884,0.0)
(8.0,0.7373790741,0.0)
(8.0,0.7311903238,0.0)
(8.0,0.7250015736,0.0)
(8.0,0.7188128233,0.0)
(8.0,0.712624073,0.0)
(8.0,0.7064353228,0.0)
(8.0,0.7002465725,0.0)
(8.0,0.6940578222,0.0)
(8.0,0.687869072,0.0)
(8.0,0.6816802621,0.0)
(8.0,0.6754915118,0.0)
(8.0,0.6693027616,0.0)
(8.0,0.6631140113,0.0)
(8.0,0.656925261,0.0)
(8.0,0.6507365108,0.0)
(8.0,0.6445477605,0.0)
(8.0,0.6383590102,0.0)
(8.0,0.63217026,0.0)
(8.0,0.6259814501,0.0)
(8.0,0.6197926998,0.0)
(8.0,0.6136039495,0.0)
(8.0,0.6074151993,0.0)
(8.0,0.601226449,0.0)
(8.0,0.5950376987,0.0)
(8.0,0.5888489485,0.0)
(8.0,0.5826601982,0.0)
(8.0,0.5764714479,0.0)
(8.0,0.5702826381,0.0)
(8.0,0.5640938878,0.0)
(8.0,0.5579051375,0.0)
(8.0,0.5517163873,0.0)
(8.0,0.545527637,0.0)
(8.0,0.5393388867,0.0)
(8.0,0.5331501365,0.0)
(8.0,0.5269613862,0.0)
(8.0,0.5207726359,0.0)
(8.0,0.5145838261,0.0)
(8.0,0.5083950758,0.0)
(8.0,0.5022063255,0.0)
(8.0,0.4960175753,0.0)
(8.0,0.489828825,0.0)
(8.0,0.4836400747,0.0)
(8.0,0.4774513245,0.0)
(8.0,0.4712625444,0.0)
