y,k,kMean,pPrime2Mean,kPrime2Mean,nutMean,pMean
2.7734893,0.006379991,0.0063896309,0.0028727305,3.3297331e-10,0.0040140641,0.043002334
2.782152,0.0064446445,0.0064575207,0.0028695993,3.7288617e-10,0.0038531875,0.042984536
2.7905408,0.0065164793,0.0065326624,0.0028666754,4.2081003e-10,0.00370227,0.04296831
2.7986642,0.0065947871,0.00661433,0.0028639442,4.7624659e-10,0.003560581,0.042953557
2.8065307,0.0066788338,0.0067017696,0.0028613917,5.3854893e-10,0.0034274109,0.042940183
2.8141485,0.0067678684,0.0067942084,0.0028590055,6.069431e-10,0.0033020781,0.042928104
2.8215254,0.0068611308,0.0068908635,0.0028567739,6.8055399e-10,0.0031839339,0.042917242
2.8286692,0.006957861,0.0069909505,0.0028546858,7.5843389e-10,0.0030723668,0.042907523
2.8355872,0.007057306,0.0070936922,0.0028527315,8.3959255e-10,0.0029668046,0.04289888
2.8422866,0.0071587272,0.0071983263,0.0028509015,9.2302753e-10,0.0028667148,0.042891247
2.8487743,0.0072614071,0.0073041118,0.0028491872,1.0077539e-09,0.0027716057,0.042884564
2.8550571,0.0073646546,0.0074103355,0.0028475807,1.0928324e-09,0.0026810246,0.042878776
2.8611414,0.0074678092,0.0075163171,0.0028460745,1.1773954e-09,0.0025945569,0.042873829
2.8670335,0.0075702454,0.0076214129,0.0028446619,1.2606705e-09,0.0025118243,0.042869667
2.8727395,0.0076713749,0.0077250192,0.0028433364,1.3419998e-09,0.0024324828,0.042866233
2.8782654,0.0077706487,0.0078265745,0.0028420922,1.4208598e-09,0.0023562192,0.042863482
2.8836168,0.0078675582,0.0079255689,0.002840924,1.4976379e-09,0.0022820747,0.042861497
2.8887992,0.0079616354,0.0080215923,0.0028398271,1.5754688e-09,0.0022059526,0.04286051
2.893818,0.0080524995,0.0081143383,0.0028387977,1.6564623e-09,0.0021255975,0.042860552
2.8986784,0.0081398757,0.0082034361,0.0028378321,1.7346194e-09,0.0020453076,0.042861226
2.9033854,0.0082234187,0.0082883235,0.0028369264,1.8011719e-09,0.00196975,0.042862059
2.9079439,0.0083026061,0.0083683431,0.0028360763,1.8518404e-09,0.001900721,0.04286279
2.9123585,0.0083768646,0.0084428885,0.002835278,1.8856969e-09,0.0018385238,0.042863328
2.9166338,0.0084457009,0.0085114865,0.0028345274,1.9037084e-09,0.0017827446,0.042863657
2.9207742,0.0085087746,0.0085738408,0.002833821,1.9076157e-09,0.0017325144,0.042863826
2.924784,0.0085659328,0.008629849,0.0028331558,1.8991279e-09,0.0016864178,0.042864002
2.9286673,0.0086172132,0.0086795977,0.002832529,1.8795277e-09,0.0016421093,0.04286457
2.9324281,0.0086628122,0.0087233268,0.0028319384,1.8498734e-09,0.0015960075,0.042866058
2.9360703,0.0087030038,0.0087613537,0.0028313817,1.811816e-09,0.0015460867,0.042868691
2.9395976,0.0087380131,0.0087939676,0.0028308567,1.7684014e-09,0.0014943671,0.042872151
2.9430137,0.0087679825,0.0088213697,0.0028303618,1.722444e-09,0.0014431142,0.042876014
2.946322,0.0087930356,0.0088437097,0.0028298954,1.6751435e-09,0.0013926468,0.042880105
2.949526,0.0088133014,0.0088611338,0.0028294559,1.6271053e-09,0.0013429359,0.042884404
2.952629,0.0088289109,0.008873789,0.0028290416,1.5788508e-09,0.0012939599,0.042888906
2.9556341,0.0088399941,0.0088818208,0.0028286511,1.5308271e-09,0.0012457067,0.042893594
2.9585445,0.0088466768,0.0088853702,0.0028282829,1.4834107e-09,0.0011981717,0.042898448
2.9613632,0.0088490789,0.0088845708,0.0028279358,1.4369125e-09,0.0011513574,0.042903446
2.964093,0.0088473111,0.0088795469,0.0028276083,1.3915827e-09,0.0011052717,0.04290857
2.9667367,0.008841473,0.0088704112,0.0028272995,1.3476165e-09,0.0010599276,0.042913799
2.9692971,0.0088316513,0.0088572624,0.0028270082,1.305159e-09,0.0010153418,0.042919114
2.9717768,0.0088179174,0.0088401836,0.0028267333,1.2643106e-09,0.00097153397,0.042924497
2.9741784,0.0088003257,0.0088192403,0.0028264738,1.2251327e-09,0.00092852631,0.042929929
2.9765042,0.0087789117,0.0087944783,0.0028262288,1.1876521e-09,0.0008863425,0.042935393
2.9787568,0.0087536897,0.0087659222,0.0028259975,1.1518662e-09,0.00084500724,0.042940872
2.9809383,0.0087246515,0.0087335729,0.002825779,1.1177473e-09,0.00080454565,0.042946349
2.9830511,0.0086917635,0.0086974059,0.0028255724,1.0852472e-09,0.00076498275,0.042951808
2.9850974,0.008654965,0.008657369,0.0028253772,1.0543011e-09,0.000726343,0.042957234
2.9870791,0.0086141658,0.0086133801,0.0028251926,1.0248317e-09,0.00068864984,0.042962612
2.9889984,0.0085692436,0.0085653245,0.0028250179,9.9675304e-10,0.00065192543,0.042967928
2.9908573,0.0085200414,0.0085130525,0.0028248525,9.6997396e-10,0.00061619021,0.042973169
2.9926575,0.0084663647,0.008456376,0.0028246958,9.4440208e-10,0.00058146273,0.042978323
2.9944011,0.0084079783,0.008395066,0.0028245473,9.1994723e-10,0.00054775939,0.042983378
2.9960897,0.0083446034,0.0083288494,0.0028244064,8.965253e-10,0.00051509425,0.042988324
2.9977251,0.0082759139,0.008257405,0.0028242728,8.7406212e-10,0.00048347895,0.042993151
2.999309,0.0082015335,0.0081803605,0.0028241459,8.5249749e-10,0.00045292261,0.042997848
3.000843,0.0081210321,0.0080972893,0.0028240253,8.3178949e-10,0.00042343176,0.043002406
3.0023287,0.0080339228,0.0080077065,0.0028239107,8.1191889e-10,0.00039501042,0.043006812
3.0037676,0.0079396538,0.0079110665,0.0028238016,7.9285808e-10,0.00036765761,0.043011076
3.0051611,0.0078374777,0.0078066872,0.0028236978,7.7377671e-10,0.0003410363,0.043015257
3.0065108,0.0077264069,0.0076936449,0.0028235989,7.5369406e-10,0.00031475204,0.043019411
3.0078179,0.0076053438,0.0075708331,0.0028235049,7.3252951e-10,0.00028915032,0.043023483
3.0090839,0.0074731367,0.007437081,0.0028234153,7.1044343e-10,0.0002647539,0.04302738
3.01031,0.007328589,0.0072911811,0.0028233298,6.8754152e-10,0.00024170035,0.043031056
3.0114975,0.0071704669,0.007131894,0.0028232482,6.6387787e-10,0.00021999684,0.043034504
3.0126476,0.0069975141,0.0069579613,0.0028231702,6.3946316e-10,0.00019961246,0.043037725
3.0137614,0.0068084765,0.0067681293,0.0028230955,6.142698e-10,0.00018050635,0.043040727
3.0148402,0.0066021344,0.0065611817,0.0028230241,5.882322e-10,0.00016263378,0.043043515
3.015885,0.0063773481,0.0063359847,0.0028229556,5.6124732e-10,0.00014594991,0.043046096
3.0168969,0.0061331156,0.006091545,0.0028228897,5.3317932e-10,0.00013041075,0.043048477
3.017877,0.005868645,0.0058270825,0.0028228265,5.0386977e-10,0.00011597322,0.043050665
