y,k,kMean,pPrime2Mean,kPrime2Mean,nutMean,pMean
1.1070848,0.039727885,0.052548112,5401884.3,0.068764585,0.0056223611,-0.03183756
1.1108803,0.040400715,0.052585887,5328513.1,0.064585996,0.0059427606,-0.031558664
1.1147991,0.041050963,0.0525826,5251475.1,0.06024069,0.0062782417,-0.031269585
1.1188453,0.04167787,0.052538188,5170686.7,0.05576669,0.006628064,-0.030967323
1.1230229,0.042280797,0.052452901,5086074.6,0.051206703,0.0069914782,-0.030646967
1.1273364,0.042859222,0.052327377,4997578.1,0.046607336,0.0073682379,-0.030308329
1.13179,0.043412731,0.052162678,4905150.5,0.042017884,0.0077592503,-0.0299533
1.1363883,0.04394101,0.051960251,4808761,0.037489246,0.0081652468,-0.029582516
1.141136,0.044443826,0.051721968,4708396.2,0.033072975,0.0085851919,-0.029194407
1.1460381,0.044921022,0.051450269,4604061.9,0.028820267,0.0090181025,-0.028785285
1.1510994,0.045372514,0.051147754,4495785.9,0.024775982,0.0094637143,-0.028350849
1.1563253,0.045798266,0.050816877,4383619.6,0.020976128,0.0099211055,-0.027888926
1.1617209,0.046198265,0.050460173,4267640,0.017451537,0.010388543,-0.027400768
1.1672919,0.046572522,0.050080193,4147951.4,0.014228637,0.010865177,-0.026888975
1.173044,0.046921071,0.049679722,4024686.6,0.011329736,0.011350372,-0.02635641
1.1789829,0.047243967,0.049262339,3898009,0.0087740215,0.011842476,-0.025805665
1.1851149,0.04754128,0.048832746,3768113.6,0.0065761326,0.012340336,-0.025237691
1.1914461,0.047813076,0.048396771,3635226.9,0.0047421685,0.012842858,-0.024653443
1.1979831,0.048059401,0.047961272,3499607.9,0.0032668633,0.013348122,-0.024055616
1.2047325,0.048280278,0.047533905,3361549.1,0.0021321579,0.013853442,-0.023447678
1.2117013,0.048475701,0.047123325,3221377.4,0.0013071637,0.014356926,-0.022834197
1.2188965,0.048645624,0.046739574,3079437,0.00074886224,0.014857671,-0.022220216
1.2263255,0.048789979,0.046393318,2936105.4,0.00040333107,0.015354172,-0.021610042
1.233996,0.048908677,0.046093396,2791797.2,0.00021064413,0.015844492,-0.021006976
